origin_country,origin_country_iso,country,country_iso,mode,package_type,product_description,hs_code,max_weight_kg_per_package,max_total_weight_kg,restricted,restricted_details,banned,banned_details,packing_notes
Italy,IT,Netherlands,NL,courier,box,cosmetics,330499,23,400,no,,no,,Tamper-evident seals; cosmetic safety data sheets; sealed cartons
South Africa,ZA,Australia,AU,air,box,fresh fruit/vegetables,80810,23,250,yes,Phytosanitary certificate required; import permit dependent on fruit type,no,,Temperature-controlled 2-8°C; hygienic pallets; moisture barrier
Japan,JP,South Korea,KR,multimodal,crate,live animal,10619,200,12000,yes, Veterinary certificate; import approval; animal health surveillance,yes,Wildlife protection and import restrictions apply,Secure crates; animal welfare compliant packaging; temperature control as needed
Singapore,SG,Indonesia,ID,sea,pallet,seed,120991,1000,18000,yes,Phytosanitary certificate; seed health assurances; import permit,no,,"Palletized, moisture-proof packaging; seed-safe containment"
United Arab Emirates,AE,United Kingdom,GB,rail,case,chemical (industrial solvent),382200,5000,18000,yes,ADR/IMDG compliance; hazardous material declaration; temperature controls,no,,UN-certified packaging; hazmat labels; spill containment
Canada,CA,Mexico,MX,road,box,pharmaceutical (prescription),300490,20,12000,yes,Prescription verification; import permit; good manufacturing practice traceability,no,,Cold-chain packaging; validated temperature data loggers
United States,US,France,FR,air,box,electronic consumer,851712,23,300,yes,IATA DG declaration; export controls; end-use validation,no,,UN-approved packaging; static-safe bags; temperature-controlled container
Germany,DE,Italy,IT,sea,crate,lithium-ion battery,850760,500,24000,yes,IMDG classification; battery handling training; packaging in UN-certified crates,no,,"Ventilated, impact-resistant crates; fire suppression inside container"
Netherlands,NL,Spain,ES,courier,envelope,pharmaceutical (prescription),300490,2,100,yes,Need prescription authentication; cross-border medical import rules,no,,Tamper-evident seal; secure envelope packaging; temperature control if needed
Mexico,MX,United States,US,air,box,cosmetics,330499,23,250,no,,no,,Safety data sheets; tamper-evident seals; cosmetic product labeling compliant
Indonesia,ID,Saudi Arabia,SA,sea,pallet,electronic consumer,851712,1000,26000,yes,End-use restrictions; export licenses; screening for dual-use tech,no,,Heavy pallets; moisture barrier; shock-absorbent supports
India,IN,Spain,ES,rail,box,toys,950300,50,16000,no,,no,,Tamper-evident packaging; child-safety compliant; packaging minimum traceability
 United States,US,Canada,CA,courier,envelope,live animal,10619,1,80,yes,Animal health certificate; import permit; quarantine checks,yes,Wildlife protection and cross-border movement restrictions,Small animal carrier with ventilation; welfare-compliant housing
China,CN,United States,US,air,box,chemical (industrial solvent),382200,23,180,yes,Hazardous materials declaration; air-suitable packaging; ADR/IMDG compliance,no,,UN-approved hazmat packaging; spill kit; secondary containment
United Kingdom,GB,Singapore,SG,multimodal,crate,pharmaceutical (prescription),300490,100,2400,yes,Cross-border prescription verification; import permit; health authority approval,no,,Cold chain validated; medical-grade packaging; certificate of analysis
India,IN,United States,US,air,box,lithium-ion battery,850760,2,150,yes,IATA DG declaration required; UN3480/UN3481 labeling and packaging; battery management documentation,no,,UN38.3 tested packaging; temperature-controlled shipment possible; tamper-evident seals
China,CN,Germany,DE,sea,pallet,electronics (consumer),851712,1000,24000,no,,no,,IMDG compliant packaging; moisture barrier; palletized with vented slip sheets
Brazil,BR,Spain,ES,air,box,pharmaceutical (prescription),300490,23,120,yes,Phytosanitary/medical regulatory checks; import license needed; cold chain monitoring,no,,Cold chain 2-8C; pharmaceutical-grade packaging; traceable lot numbers
United Kingdom,GB,Canada,CA,courier,envelope,cosmetics,330499,0.5,8,no,,no,,Airworthy packaging; sealed cosmetics with batch codes
Japan,JP,Australia,AU,sea,crate,chemical (industrial solvent),382200,5000,26000,yes,"IMDG hazard class, proper ventilation; SDS; special waste handling; environmental permit",yes,Hazardous chemical restrictions; restricted import permits,Hazmat compliant packaging; UN-certified; secondary containment; leakproof drums
South Korea,KR,France,FR,rail,box,live animal,10619,50,1500,yes,Animal transport certificate; veterinary health certificate; quarantine clearance,no,,Ventilated crates; temperature control where needed; humane handling
United Arab Emirates,AE,India,IN,multimodal,case,plant/seed,120991,250,14000,yes, phytosanitary certificate required; seed treatment certificate; plant health inspection,no,,Sealable tamper-evident cases; moisture control; bagged seeds to avoid spillage
Mexico,MX,United Kingdom,GB,air,envelope,fresh fruit/vegetables,80810,2,60,yes,phytosanitary certificate; cold chain monitoring; import permit,no,,Temperature controlled 0-4C; humidity control; odor containment
Italy,IT,Japan,JP,courier,box,toys,950300,3,25,no,,no,,Tamper-evident packaging; safety labeling; age-appropriate warnings
Netherlands,NL,Singapore,SG,air,box,electronic accessories,851769,23,180,no,,no,,E-protective packaging; ESD shielding; temperature stability
Switzerland,CH,United States,US,rail,pallet,pharmaceutical (prescription),300490,1000,18000,yes,Investigational import controls; need import license; cold chain validation,no,,Cold chain monitoring; validated packaging; chain-of-custody records
Canada,CA,Mexico,MX,road,box,used clothing,630900,20,15000,no,,yes,Counterfeit goods and substandard clothing restrictions; customs declaration issues,Original manufacturer packaging when possible; durable packaging; labeling in local language
Spain,ES,Brazil,BR,sea,crate,live animal,10619,40,12000,yes,Quarantine protocol; veterinary approval; import permit,no,,Ventilated transport crates; temperature control; secure chaining
France,FR,South Korea,KR,multimodal,box,cosmetics,330499,25,900,no,,no,,Tamper-evident seals; batch traceability; temperature control if active ingredients
Australia,AU,New Zealand,NZ,courier,envelope,pharmaceutical (prescription),300490,0.5,5,yes,Vaccine/biologics handling; cold-chain validation; import registration,no,,Ultra-cold/2-8C as required; validated containers; chain-of-custody labeling
Saudi Arabia,SA,United Arab Emirates,AE,air,box,alcoholic beverages,220830,23,60,yes,Import permit; excise tax clearance; labeling and packaging compliance,no,,Tamper-evident seals; bulk packaging where permitted; temperature control as needed
Germany,DE,Italy,IT,rail,box,chemical (industrial solvent),382200,1000,15000,yes,Hazard communication; proper ADR/IMDG labeling; spill containment,no,,UN-certified packaging; secondary containment; leakage barriers
United States,US,Canada,CA,road,box,fresh fruit/vegetables,80810,2,2000,no,,no,,Refrigerated transport; insulated packaging; moisture control
China,CN,Indonesia,ID,multimodal,case,lithium-ion battery,850760,5,12000,yes,IATA/IMDG compliance; battery return programs; packaging tests,no,,UN38.3 tested; insulated outer packaging; fire retardant lining
United Kingdom,GB,Spain,ES,sea,pallet,electronics (consumer),851769,800,27000,no,,no,,Vented pallets; moisture barriers; Secured with.corner protectors
India,IN,Saudi Arabia,SA,air,box,pharmaceutical (prescription),300490,23,100,yes,Import license; veterinary/pharmacovigilance checks; cold chain validation,no,,Cold chain packaging; validated transport; lot tracing
India,IN,United States,US,air,box,lithium-ion battery,850760,2,200,yes,"IATA DG declaration required; lithium batteries restricted to shippers of devices, proper marking and UN38.3 testing",no,,UN-certified packaging required; proper acid-free inner packaging; moisture barrier
China,CN,Germany,DE,sea,crate,electronics (consumer),851712,5000,25000,no,,no,,Temperature control not required; breakbulk-friendly crate with shock-absorbing dunnage
Brazil,BR,Japan,JP,air,box,pharmaceutical (prescription),300490,3,300,yes,Pharmaceutical import license; cold chain validation; IATA DG for medicines,no,,Tamper-evident seals; cold chain 2-8C; insulated box
United Kingdom,GB,Canada,CA,road,box,fresh fruit/vegetables,80810,25,12000,no,,no,,Ventilated packaging; humidity control; palletized for highway transit
Spain,ES,France,FR,rail,pallet,live animal,10619,6000,18000,yes,Veterinary certificate; health attestations; phytosanitary not required but animal health proof needed,no,,Certified humane transport; temperature and space requirements; containment
United States,US,Mexico,MX,courier,envelope,pharmaceutical (prescription),300490,2,50,yes,Pharmacy licensure verification; prescription validation; controlled substance checks,no,,Heat-sealed protective pouch; tamper-evident seal
China,CN,Indonesia,ID,multimodal,case,chemical (industrial solvent),382200,250,15000,yes,Hazmat classification; IATA/IMDG compliance; MSDS; permit for solvent import,yes,Waste solvents or hazardous waste prohibited,UN-certified packaging; corrosion-resistant containment; spill kit included
Germany,DE,United Kingdom,GB,sea,pallet,cosmetics,330499,1000,22000,no,,no,,COSMETICS compliant labeling; batch codes; tamper-evident seals
Japan,JP,Canada,CA,air,box,toys (small),950300,4,250,no,,no,,Choking hazard labels; child safety standards; secure packaging
India,IN,Saudi Arabia,SA,air,box,electronic s (consumer),851712,4,400,yes,IATA DG for electronics; battery containment; import clearance,no,,Anti-static bags; ESD-safe inner packaging; UN marking where applicable
United States,US,Spain,ES,rail,pallet,live animal,10619,5000,20000,yes,Veterinary clearance; import permit; temperature control,no,,Dedicated livestock railcar; temperature-tracking devices
China,CN,South Korea,KR,multimodal,crate,pharmaceutical (prescription),300490,50,15000,yes,GMP certification; cold chain; import license in destination,no,,Cold chain monitoring; validated courier network; insulated crate
Australia,AU,New Zealand,NZ,road,box,cosmetics,330499,30,12000,no,,no,,Labeling per AU/NZ cosmetic regs; batch traceability
France,FR,Italy,IT,courier,envelope,counterfeit goods,0,0.5,20,yes,Counterfeit goods prohibited; enforcement audit; civil penalties,yes,Counterfeits prohibited under IP laws,Prohibited items must not be shipped; declare as sample only
Netherlands,NL,Spain,ES,air,box,fresh fruit/vegetables,80810,6,260,no,,no,,Perishable goods; temperature-controlled airfreight when available
South Africa,ZA,United States,US,sea,crate,live animal,10619,4000,12000,yes,Health attestations; veterinary permit; quarantine upon arrival,no,,Isolated transport; air-dried facility at port; biosecure handling
Mexico,MX,Canada,CA,rail,pallet,pharmaceutical (prescription),300490,1200,18000,yes,Controlled substance verification; import permit; GMP validation,no,,Temperature-stable pallet; validated cold chain equipment
Saudi Arabia,SA,United Arab Emirates,AE,multimodal,case,chemical (industrial solvent),382200,1500,21000,yes,Hazmat classification; national security checks; import license,no,,Hazmat compliant; leak-proof case; spill kit included
Italy,IT,Netherlands,NL,rail,box,pharmaceutical (prescription),300490,40,15000,yes,GMP compliance; destination drug licensing; cold chain validation,no,,Cold chain monitoring; validated packaging; temperature loggers
Singapore,SG,United Kingdom,GB,air,box,fresh fruit/vegetables,80810,2,350,no,,no,,Fresh produce; rapid transit; see phytosanitary requirements
South Korea,KR,India,IN,courier,envelope, cosmetics,330499,1,30,yes,Cosmetic product labeling compliance; import permit; potential restrictions on certain ingredients,no,,Tamper-evident packaging; ingredient disclosure
Canada,CA,Brazil,BR,road,box,used clothing,630900,50,15000,no,,no,,Strong seams; lint-free bags; weatherproof outer wrap
Netherlands,NL,Spain,ES,sea,crate,live animal,10619,10000,35000,yes,Animal health certificate; import permit; quarantine on arrival if required,no,,Dedicated animal transport container; temperature control; veterinary oversight
Australia,AU,Mexico,MX,multimodal,case,toys (small),950300,40,16000,no,,no,,Safety packaging; choking hazard warnings; standard toy labeling
India,IN,United States,US,air,box,lithium-ion battery,850760,5,250,yes,"IATA DG declaration, lithium battery UN3480/UN3481 compliance required",no,,"UN-certified packaging required, lithium battery packing instructions per IATA SP155"
China,CN,Germany,DE,road,box,fresh fruit/vegetables,80810,25,18000,no,,no,,Temperature-controlled shipments not necessary but avoid crush
Brazil,BR,Japan,JP,sea,pallet,pharmaceutical (prescription),300490,1000,25000,yes,"Pharmacovigilance import permits, GMP certificate",no,,"Temperature controlled 2-8°C, IGD/Hazmat compliant"
United Kingdom,GB,Canada,CA,air,envelope,used clothing,630900,2,400,no,,no,,"Thermally insulated packaging acceptable, avoid moisture"
Australia,AU,Singapore,SG,courier,case,chemical (industrial solvent),382200,32,350,yes,"Class 3 flammable liquid, IATA DG and IMDG packing codes",yes,Biohazard/flammable mix prohibited,"Hazmat labeling, secondary containment, UN packaging"
United Arab Emirates,AE,France,FR,multimodal,box,toy (small),950300,10,15000,no,,no,,"Tamper-evident seals, standard toy safety compliance"
Germany,DE,Spain,ES,rail,crate,electronics (consumer),851712,600,22000,no,,no,,"Fragile handling, shock and tilt sensors"
Japan,JP,Netherlands,NL,sea,pallet,live animal,10619,800,18000,yes,"Veterinary health certificates, import permit",yes,Strict wildlife protection controls,"Temperature controlled, humane transport crates"
South Korea,KR,Mexico,MX,road,box,plant/seed,120991,25,12000,yes,"Phytosanitary certificate required, seed import permit",no,,"Phytosanitary treatment if required, clean packaging"
Singapore,SG,Indonesia,ID,air,box,cosmetics,330499,5,800,no,,no,,"Sealed packaging, cosmetic product compliance"
France,FR,Italy,IT,courier,envelope,alcoholic beverages,220830,2,350,yes,"Excise/legal import duties, age verification requirements",no,,"Tamper-evident seals, packaging labeling per beverage type"
Netherlands,NL,United Kingdom,GB,multimodal,box,counterfeit goods,0,20,12000,yes,"Counterfeit goods prohibition, customs seizure risk",yes,"Criminal activity, intellectual property violations","Avoid fake branding, certify authenticity where possible"
Canada,CA,Spain,ES,sea,crate,pharmaceutical (prescription),300490,500,26000,yes,"GMP compliance, import licenses, controlled substance controls",no,,"Chain-of-custody, temperature control"
Italy,IT,United States,US,air,box,live animal,10619,30,500,yes,"Veterinary health certificate, import permit",yes,Wildlife protection rules,"Secure crates, climate control, humane handling"
Spain,ES,Canada,CA,road,pallet,plant/seed,120991,800,18000,no,,no,,"Palletized, phytosanitary packaging, pest-free area certification"
Netherlands,NL,Japan,JP,rail,box,electronics (consumer),851712,400,22000,no,,no,,"ESD safe, vibration dampening"
India,IN,South Africa,ZA,sea,crate,live animal,10619,1200,24000,yes,"CITES permit where required, veterinary checks",yes,Strict wildlife protection laws,"Quarantine compliant facilities, sealed transport"
United States,US,Mexico,MX,road,box,pharmaceutical (prescription),300490,40,15000,yes,"Controlled substance handling, DEA import/export permits",no,,"Tamper-evident packaging, chain-of-custody"
South Africa,ZA,United Kingdom,GB,air,box,chemical (industrial solvent),382200,32,600,yes,"Special permit for hazardous materials, IATA/IMDG compliance",no,,"Hazmat labeling, UN packaging, ventilation"
Mexico,MX,Singapore,SG,courier,envelope,cosmetics,330499,2,250,no,,no,,"Tamper-evident seals, cosmetic product compliance"
Indonesia,ID,France,FR,multimodal,box,pharmaceutical (prescription),300490,1000,20000,yes,"Pharmacovigilance, GMP, import licenses",no,,"Refrigerated chain-of-custody, temperature data loggers"
Saudi Arabia,SA,United States,US,air,box,live animal,10619,5,500,yes,"CITES, veterinary checks, import permits",yes,Wildlife protection constraints,"Bird-safe crates, climate control, quarantine"
India,IN,United States,US,air,box,lithium-ion battery,850760,2,150,yes,IATA DG declaration required; battery to be packed with terminals protected,no,,UN38.3 certified packaging; lithium battery in compliance with UN transport regulations; temperature controlled if applicable
China,CN,Germany,DE,air,box,electronics (consumer),851712,23,200,yes,Export controls; dual-use electronics may require license,no,,CIQ/Customs compliant packaging; secure tamper-evident seals
Brazil,BR,Japan,JP,sea,crate,pharmaceutical (prescription),300490,5000,25000,yes,Pharmaceutical shipments require GMP/compliance certificates; import license in destination,no,,Pharma-grade packaging; cold chain as needed; temperature monitoring
Australia,AU,Canada,CA,multimodal,box,cosmetics,330499,23,180,no,,no,,Tamper-evident seals; cosmetic product labeling per destination
United Kingdom,GB,India,IN,air,envelope,pharmaceutical (prescription),300490,2,120,yes,IATA DG declaration; import clearance may require health authority approval,no,,Double bagging; temperature control; secure packaging
Japan,JP,Singapore,SG,courier,envelope, cosmetics,330499,2,60,no,,no,,Tamper-evident seal; compliant labeling
 United States,US,Mexico,MX,road,box,fresh fruit/vegetables,80810,23,12000,yes,Phytosanitary certificate required; import permit may be necessary,no,,Perishables cooled 2-8°C; vented packaging
South Korea,KR,France,FR,rail,pallet,live animal,10619,2000,18000,yes,Veterinary certificate; animal welfare compliance; biosecurity controls,yes,Certain species restricted; risk of disease transfer,Hygienic containment; ventilation; isolation per species
Italy,IT,Spain,ES,sea,crate,plant/seed,120991,5000,26000,yes,Phytosanitary certificate; seed certification; import permit,no,,Fumigation/inspection certificates; moisture-controlled packaging
France,FR,Netherlands,NL,air,box,electronicss (consumer),851712,23,300,yes,IATA DG declaration; hazardous statement for lithium content if any,no,,UN-approved packaging; battery terminals protected
Spain,ES,United Kingdom,GB,air,box,toys,950300,23,180,no,,no,,Manufacturer packaging; child-safe labeling
Netherlands,NL,Canada,CA,courier,envelope,cosmetics,330499,2,80,no,,no,,Seal; labeling per destination; tamper-evident
Germany,DE,South Africa,ZA,sea,box,chemical (industrial solvent),382200,1000,22000,yes,Hazmat classification; MSDS; UN numbers; importer must be licensed,no,,Hazmat compliant packaging; secondary containment; labeling
Canada,CA,Saudi Arabia,SA,air,box,alcoholic beverages,220830,23,280,yes,Excise tax clearance; import license; distribution rights,no,,Age verification; tamper-evident seals; secure responsible handling
 United Arab Emirates,AE,Italy,IT,courier,envelope,pharmaceutical (prescription),300490,2,50,yes,IATA DG declaration; regulatory health authority approval; import clearance,no,,Pharmaceutical-grade packaging; refrigeration if required
Japan,JP,South Korea,KR,rail,crate,live animal,10619,1800,21000,yes,Veterinary certificate; traceability; biosecurity controls,yes,Some high-risk species restricted by bilateral treaty,Specialized containment; vet inspection before loading
Singapore,SG,Indonesia,ID,multimodal,box,fresh fruit/vegetables,80810,23,12000,yes,Phytosanitary certificate; cleaning/inspection; import permit,no,,Refrigerated containers or insulated packaging; humidity control
 United States,US,United Kingdom,GB,road,pallet,chemical (industrial solvent),382200,1000,18000,yes,Hazmat classification; MSDS; UN numbers; transporter licensing,no,,Hazmat compliant pallets; secondary containment; spill kits
China,CN,Spain,ES,sea,crate,live animal,10619,3000,26000,yes, Veterinary certificate; import permit; biosecurity checks,yes,Certain species prohibited; disease risk controls,Containment measures; isolation; veterinary inspection
India,IN,France,FR,rail,box,toys,950300,23,180,no,,no,,Factory packaging; safety standards labels
Mexico,MX,Netherlands,NL,air,box,fresh fruit/vegetables,80810,23,140,yes,Phytosanitary certificate; import permit; cold chain,no,,Cold-chain packaging; breathable cartons
South Africa,ZA,Canada,CA,courier,envelope,cosmetics,330499,2,50,no,,no,,Tamper-evident seal; labeling per destination
United Kingdom,GB,Australia,AU,sea,pallet,electronicss (consumer),851712,1000,22000,yes,Hazmat considerations for batteries; UN marking; documentation,no,,Palletized shipping; spill containment; battery safety labeling
India,IN,United States,US,air,box,lithium-ion battery,850760,2,300,yes,IATA DG declaration required; lithium batteries subject to UN规范; permit for air transport,yes,Biosecurity risk and safety concerns; UN3480/3481 classification applies; lithium battery restrictions,UN-certified packaging required; correct labeling; temperature controlled if needed; separate containment for battery terminals
China,CN,Germany,DE,sea,pallet,electronic consumer electronics,851712,1000,25000,no,,no,,Tamper-evident seals; moisture protection; stackable pallets with ratchet straps
Brazil,BR,Japan,JP,air,box,pharmaceutical (prescription),300490,23,350,yes,Pharmacovigilance and pharmaceutical import license; need GMP compliance,no,,Pharmaceutical-grade packaging; temperature control if required; tamper-evident seals
United Kingdom,GB,Canada,CA,courier,envelope,cosmetics,330499,2,150,no,,no,,"Sealed, non-leakable containers; compliant labeling; cosmetic product declarations"
Australia,AU,Singapore,SG,multimodal,case,fresh fruit/vegetables,80810,30,20000,yes,Phytosanitary certificate required; pest risk assessment; import permits,no,,Ventilated cases; temperature control; ethylene management; packing density controls
Germany,DE,France,FR,rail,crate,toys,950300,250,18000,no,,no,,Tamper-proof crates; child-safety compliance labeling; hazard warnings if any
United States,US,Mexico,MX,road,box,fresh fruit/vegetables,80810,23,15000,yes,US customs pre-clearance; phytosanitary import permits; seasonal quotas,no,,Cold-chain packaging; insulated liners; weight distribution per pallet
Japan,JP,South Korea,KR,sea,pallet,electronics (consumer),851712,1000,28000,no,,no,,Anti-corrosion packing; humidity protection; stackable pallets with secure straps
India,IN,United Kingdom,GB,air,box,pharmaceutical (prescription),300490,23,400,yes,Import license; good distribution practice; IATA DG declaration where applicable,no,,Thermostatically controlled packaging; sealed primary/secondary packaging
China,CN,United States,US,courier,envelope,dead live animal,10619,2,120,yes,Export quarantine; veterinary health certificate; import permit,yes,Wildlife protection laws; transport of live animals restricted,Specialized live-animal courier service; biosecure packaging
France,FR,Italy,IT,road,box,cosmetics,330499,20,12000,no,,no,,Tamper-evident seals; cosmetic product declarations; batch traceability
Netherlands,NL,Spain,ES,rail,crate,chemical (industrial solvent),382200,5000,22000,yes,Hazmat classification; permit for transport; MSDS documentation; IATA/IMDG compliance,no,,Hazmat labeling; UN specification packaging; secondary containment
South Africa,ZA,Brazil,BR,multimodal,pallet,live animal,10619,500,18000,yes,CITES permits where applicable; veterinary certificates; import/export licenses,yes,Wildlife protection laws; species restrictions,Specialized live-animal crates; climate control; biosecurity barriers
Mexico,MX,Canada,CA,air,box,alcoholic beverages,220830,23,500,yes,Excise tax compliance; provincial permits; age verification; import for duty-free routes,no,,Tamper-evident seals; temperature control; appropriate labeling by province
South Korea,KR,Australia,AU,sea,pallet,used clothing,630900,1000,24000,no,,no,,Original manufacturer packaging; odor control; stackable pallets
Singapore,SG,United Arab Emirates,AE,air,box,biosecurity-sensitive chemical (industrial solvent),382200,5,250,yes,IATA DG declaration; chemical hazard communication; import permits,no,,UN-approved packaging; secondary containment; proper labeling
Italy,IT,France,FR,courier,envelope,pharmaceutical (prescription),300490,2,80,yes,Pharmacovigilance; prescription verification; import license where applicable,no,,Secure temperature-stable packaging; compliance with medical packaging standards
Spain,ES,Netherlands,NL,road,case,counterfeit goods,0,500,15000,yes,Intellectual property enforcement; customs seizures; trade compliance checks,yes,Counterfeit goods prohibited; sanctions,Audit-ready packaging; batch records; tamper seals
Canada,CA,Germany,DE,rail,crate,pharmaceutical (prescription),300490,1000,23000,yes,GMP compliance; import licenses; pharma-grade labeling,no,,Controlled room-temp packaging; secure labeling; chain-of-custody documentation
Saudi Arabia,SA,United States,US,air,box,chemical (industrial solvent),382200,23,400,yes,Hazmat classification; IATA/IMDG compliance; export licensing,no,,Hazmat packaging; UN specification containers; labeling
India,IN,United States,US,air,box,lithium-ion battery,850760,2,100,yes,IATA lithium battery declarations; UN3480/3481 classification; special handling for dangerous goods,no,,UN-certified packaging required; battery terminals protected; proper labeling
China,CN,Germany,DE,sea,pallet,electronics (consumer),852691,1000,25000,no,,no,,Tamper-evident seals; compliant palletization; vented packaging where applicable
Brazil,BR,Japan,JP,air,box,pharmaceutical (prescription),300490,2.5,150,yes,Pharmaceutical import permits; temperature control; GMP certificates,no,,Temperature-controlled 2-8C; validated cold chain; secure secondary containment
Canada,CA,Australia,AU,courier,envelope,cosmetics,330499,1,60,no,,no,,Tamper-evident seals; cosmetic labeling per destination
France,FR,Spain,ES,road,box,fresh fruit/vegetables,80810,20,1200,no,,no,,Perishable goods with temperature controls; insulated packaging
India,IN,United Kingdom,GB,rail,crate,live animal,10619,30,15000,yes,Veterinary health certificates; quarantine requirements; animal welfare compliance,yes,Some species restricted; CITES considerations,Secure transport cages; veterinary inspection readiness
Saudi Arabia,SA,United Arab Emirates,AE,multimodal,box,chemical (industrial solvent),382420,40,12000,yes,Hazmat classification; air restrictions for solvents; MSDS required,no,,Hazmat compliant packaging; secondary containment; leak-proof seals
Japan,JP,South Korea,KR,sea,crate,live animal,10619,100,18000,yes,Quarantine and veterinary checks; import permits,no,,Sturdy crates; animal welfare compliant handling; clear labeling
United States,US,Mexico,MX,road,box,used clothing,630900,25,15000,no,,no,,Orig/manufacturer packaging where possible; avoid contamination; secure straps
Germany,DE,France,FR,courier,envelope,pharmaceutical (prescription),300490,1,40,yes,Prescription validation; controlled substance controls; rapid transit,no,,Tamper-evident seal; cold-chain if needed; proper labeling
Italy,IT,United Kingdom,GB,air,box,cosmetics,330499,2,120,no,,no,,Keep original packaging; cosmetic safety labeling; air transport compliant
Singapore,SG,Japan,JP,sea,pallet,electronic s (consumer),852691,1000,22000,no,,no,,Sealed pallets; moisture protection; shock indicators
Netherlands,NL,Canada,CA,rail,crate,pharmaceutical (prescription),300490,50,18000,yes,Cold chain; import licenses; GMP validation,no,,Temperature monitoring; validated cold chain; secure closures
Australia,AU,Spain,ES,multimodal,box,alcoholic beverages,220830,30,15000,yes,Tax and import duties; labeling and age verification; alcohol restrictions by country,no,,Tamper-evident seals; age/ID verification; temperature control where needed
United Kingdom,GB,India,IN,air,envelope,toys (small),950300,0.5,80,no,,no,,Retail packaging; battery safety if included; age-appropriate labeling
South Korea,KR,Singapore,SG,road,box,electronics (consumer),852691,25,9000,no,,no,,Anti-static inner packaging; robust outer carton; warning labels
Mexico,MX,United States,US,courier,envelope,pharmaceutical (prescription),300490,1.5,50,yes,Need prescription validation; controlled substance controls; rapid clearance,no,,Tamper-evident seal; prescription documentation; secure courier
Netherlands,NL,Brazil,BR,sea,pallet,chemical (industrial solvent),382420,1000,26000,yes,REACH compliance; hazardous handling; MSDS; tank/container standards,no,,Secondary containment; leak-proof; hazmat labeling
United States,US,France,FR,rail,crate,live animal,10619,60,14000,yes,"Quarantine, veterinary certificates; export permits",no,,Secure transport cages; validated welfare standards
Spain,ES,Netherlands,NL,multimodal,box,fresh fruit/vegetables,80810,25,8000,no,,no,,Temperature-controlled containers; insulated packaging; rapid transit
United States,US,India,IN,air,box,pharmaceutical (prescription),300490,2,120,yes,Special import permits; high-value drug controls; rapid clearance,no,,Cold chain tracking; validated packaging; secure labeling
India,IN,United States,US,air,box,lithium-ion battery,850760,2,120,yes,IATA DG declaration required; lithium batteries restricted for air transport; UN3480/UN3481 classification,no,,UN-certified packaging; proper labeling; segregation from perishables; temperature control 0-25C
China,CN,Germany,DE,road,box,electronic consumer electronics,851712,23,15000,yes,Electrical safety standards; CE marking; import clearance required,no,,Tamper-evident seals; robust outer packaging; dust protection
Brazil,BR,Spain,ES,sea,crate,pharmaceutical (prescription),300490,500,26000,yes,Pharmaceutical import permits; GMP certificate; cold chain if applicable,no,,Temperature monitoring; chain-of-custody documentation; tamper-evident seals
United Kingdom,GB,Canada,CA,rail,pallet,live animal,10619,1000,18000,yes,Veterinary certificates; import quarantine where required; CITES if applicable,no,,Ventilated pallets; secure containment; humane handling
Japan,JP,Australia,AU,air,box,fresh fruit/vegetables,80810,23,400,no,,no,,Temperature controlled 2-8C; origin/destination phytosanitary stamps
South Korea,KR,United States,US,multimodal,pallet,cosmetics,330499,1000,22000,no,,no,,Cosmetics in original packaging; tamper-evident seals; MSDS available
Germany,DE,China,CN,sea,crate,chemical (industrial solvent),382200,5000,26000,yes,IMDG code; MSDS; proper segregation; permit for hazardous materials,no,,Hazmat labeling; closed containment; spill kits; vented crates
Canada,CA,Mexico,MX,road,box,pharmaceutical (prescription),300490,25,12000,yes,Import licensing; health authority approval; cold chain tracking if required,no,,Pharmacovigilance documentation; secure packaging; temperature data loggers
Italy,IT,France,FR,courier,envelope,pharmaceutical (prescription),300490,0.5,600,yes,Prescription validation; licensed pharmacist packaging; strict dispensing records,no,,Tamper-evident seal; discreet packaging; temperature control if needed
Spain,ES,Netherlands,NL,air,box,electronic consumer,851712,23,200,no,,no,,Moisture barrier; ESD protection; shock-absorbing inserts
Singapore,SG,Japan,JP,sea,case,toy (small),950300,2000,15000,no,,no,,Origin-certified packaging; serialization for recalls; child-safety standards
United Arab Emirates,AE,Saudi Arabia,SA,road,box,cosmetics,330499,18,10000,no,,no,,Temperature stable packaging; UV protection; secure lids
 Brazil,BR,United Kingdom,GB,rail,pallet,live animal,10619,800,21000,yes,Quarantine requirements; veterinary checks; import permit,no,,Containment cages; secure enclosure; proper ventilation
Netherlands,NL,Canada,CA,sea,crate,chemical (industrial solvent),382200,4000,25000,yes,Hazardous material classification; IMDG coding; spill response,no,,Hazmat labeling; secondary containment; leak-proof seals
South Africa,ZA,India,IN,air,box,fresh fruit/vegetables,80810,23,150,no,,no,,Temperature control 2-8C; rapid transit; humidity control
Mexico,MX,Spain,ES,courier,envelope,pharmaceutical (prescription),300490,0.5,400,yes,Prescription validation; pharmacy license; controlled substances controls,no,,Tamper-evident seal; secure outer packaging; patient consent documentation
United States,US,Japan,JP,air,box,pharmaceutical (prescription),300490,25,300,yes,Controlled substance controls; FDA import requirements; cold chain if needed,no,,FDA/Pharma compliant packaging; chain-of-custody records; temperature monitoring
Australia,AU,New Zealand,NZ,sea,crate,live animal,10619,1200,20000,yes,Quarantine; veterinary inspection; import permits,no,,Secure travel crates; ventilation; feed/water provisions
